fips,region,time,firms,establishments,net_change,total_job_gains,expanding_job_gains,opening_job_gains,total_job_losses,contracting_job_losses,closing_job_losses
46,South Dakota,2015,964.0,965.0,3152.0,3152.0,0.0,3152.0,0.0,0.0,0.0
46,South Dakota,2016,1010.0,1012.0,3466.0,3466.0,0.0,3466.0,0.0,0.0,0.0
46,South Dakota,2017,992.0,994.0,3509.0,3509.0,0.0,3509.0,0.0,0.0,0.0
46,South Dakota,2018,1031.0,1033.0,3575.0,3575.0,0.0,3575.0,0.0,0.0,0.0
46,South Dakota,2019,955.0,961.0,2846.0,2846.0,0.0,2846.0,0.0,0.0,0.0
46,South Dakota,2020,1056.0,1058.0,3765.0,3765.0,0.0,3765.0,0.0,0.0,0.0
46,South Dakota,2021,1060.0,1060.0,3511.0,3511.0,0.0,3511.0,0.0,0.0,0.0
47,Tennessee,1994,7237.0,7264.0,36189.0,36189.0,0.0,36189.0,0.0,0.0,0.0
47,Tennessee,1995,7733.0,7739.0,40588.0,40588.0,0.0,40588.0,0.0,0.0,0.0
47,Tennessee,1996,7963.0,7974.0,43082.0,43082.0,0.0,43082.0,0.0,0.0,0.0
47,Tennessee,1997,7969.0,7980.0,41175.0,41175.0,0.0,41175.0,0.0,0.0,0.0
47,Tennessee,1998,7466.0,7471.0,39591.0,39591.0,0.0,39591.0,0.0,0.0,0.0
47,Tennessee,1999,7161.0,7170.0,38925.0,38925.0,0.0,38925.0,0.0,0.0,0.0
47,Tennessee,2000,6752.0,6760.0,36664.0,36664.0,0.0,36664.0,0.0,0.0,0.0
47,Tennessee,2001,6452.0,6458.0,35267.0,35267.0,0.0,35267.0,0.0,0.0,0.0
47,Tennessee,2002,6145.0,6147.0,31907.0,31907.0,0.0,31907.0,0.0,0.0,0.0
47,Tennessee,2003,6425.0,6431.0,34055.0,34055.0,0.0,34055.0,0.0,0.0,0.0
47,Tennessee,2004,6659.0,6666.0,35242.0,35242.0,0.0,35242.0,0.0,0.0,0.0
47,Tennessee,2005,7025.0,7028.0,37184.0,37184.0,0.0,37184.0,0.0,0.0,0.0
47,Tennessee,2006,7285.0,7291.0,37853.0,37853.0,0.0,37853.0,0.0,0.0,0.0
47,Tennessee,2007,7275.0,7282.0,36114.0,36114.0,0.0,36114.0,0.0,0.0,0.0
47,Tennessee,2008,6943.0,6961.0,33543.0,33543.0,0.0,33543.0,0.0,0.0,0.0
47,Tennessee,2009,5510.0,5519.0,26196.0,26196.0,0.0,26196.0,0.0,0.0,0.0
47,Tennessee,2010,5124.0,5126.0,24919.0,24919.0,0.0,24919.0,0.0,0.0,0.0
47,Tennessee,2011,5339.0,5346.0,26102.0,26102.0,0.0,26102.0,0.0,0.0,0.0
47,Tennessee,2012,5463.0,5473.0,27149.0,27149.0,0.0,27149.0,0.0,0.0,0.0
47,Tennessee,2013,5585.0,5595.0,27803.0,27803.0,0.0,27803.0,0.0,0.0,0.0
47,Tennessee,2014,5427.0,5436.0,26209.0,26209.0,0.0,26209.0,0.0,0.0,0.0
47,Tennessee,2015,5694.0,5698.0,27540.0,27540.0,0.0,27540.0,0.0,0.0,0.0
47,Tennessee,2016,5901.0,5909.0,27092.0,27092.0,0.0,27092.0,0.0,0.0,0.0
47,Tennessee,2017,6129.0,6133.0,30516.0,30516.0,0.0,30516.0,0.0,0.0,0.0
47,Tennessee,2018,6392.0,6399.0,32369.0,32369.0,0.0,32369.0,0.0,0.0,0.0
47,Tennessee,2019,6835.0,6843.0,32670.0,32670.0,0.0,32670.0,0.0,0.0,0.0
47,Tennessee,2020,7345.0,7354.0,31663.0,31663.0,0.0,31663.0,0.0,0.0,0.0
47,Tennessee,2021,8018.0,8037.0,31791.0,31791.0,0.0,31791.0,0.0,0.0,0.0
48,Texas,1994,23728.0,23763.0,154112.0,154112.0,0.0,154112.0,0.0,0.0,0.0
48,Texas,1995,30515.0,30603.0,177118.0,177118.0,0.0,177118.0,0.0,0.0,0.0
48,Texas,1996,23492.0,23536.0,129795.0,129795.0,0.0,129795.0,0.0,0.0,0.0
48,Texas,1997,36628.0,36682.0,194922.0,194922.0,0.0,194922.0,0.0,0.0,0.0
48,Texas,1998,29145.0,29211.0,148534.0,148534.0,0.0,148534.0,0.0,0.0,0.0
48,Texas,1999,27158.0,27249.0,137193.0,137193.0,0.0,137193.0,0.0,0.0,0.0
48,Texas,2000,27975.0,28041.0,149341.0,149341.0,0.0,149341.0,0.0,0.0,0.0
48,Texas,2001,26492.0,26536.0,141631.0,141631.0,0.0,141631.0,0.0,0.0,0.0
48,Texas,2002,27005.0,27052.0,144618.0,144618.0,0.0,144618.0,0.0,0.0,0.0
48,Texas,2003,27198.0,27247.0,138892.0,138892.0,0.0,138892.0,0.0,0.0,0.0
48,Texas,2004,27459.0,27502.0,140474.0,140474.0,0.0,140474.0,0.0,0.0,0.0
48,Texas,2005,28751.0,28791.0,151433.0,151433.0,0.0,151433.0,0.0,0.0,0.0
48,Texas,2006,29564.0,29606.0,153968.0,153968.0,0.0,153968.0,0.0,0.0,0.0
48,Texas,2007,30435.0,30536.0,154860.0,154860.0,0.0,154860.0,0.0,0.0,0.0
48,Texas,2008,29331.0,29361.0,148729.0,148729.0,0.0,148729.0,0.0,0.0,0.0
48,Texas,2009,26942.0,26981.0,128709.0,128709.0,0.0,128709.0,0.0,0.0,0.0
48,Texas,2010,25999.0,26028.0,122408.0,122408.0,0.0,122408.0,0.0,0.0,0.0
48,Texas,2011,28118.0,28151.0,132949.0,132949.0,0.0,132949.0,0.0,0.0,0.0
48,Texas,2012,30476.0,30515.0,143409.0,143409.0,0.0,143409.0,0.0,0.0,0.0
48,Texas,2013,30733.0,30754.0,143134.0,143134.0,0.0,143134.0,0.0,0.0,0.0
48,Texas,2014,30789.0,30802.0,147925.0,147925.0,0.0,147925.0,0.0,0.0,0.0
48,Texas,2015,32292.0,32309.0,150441.0,150441.0,0.0,150441.0,0.0,0.0,0.0
48,Texas,2016,33667.0,33672.0,147406.0,147406.0,0.0,147406.0,0.0,0.0,0.0
48,Texas,2017,35790.0,35808.0,158857.0,158857.0,0.0,158857.0,0.0,0.0,0.0
48,Texas,2018,36387.0,36399.0,161992.0,161992.0,0.0,161992.0,0.0,0.0,0.0
48,Texas,2019,37552.0,37560.0,161572.0,161572.0,0.0,161572.0,0.0,0.0,0.0
48,Texas,2020,36806.0,36823.0,163010.0,163010.0,0.0,163010.0,0.0,0.0,0.0
48,Texas,2021,38229.0,38317.0,153051.0,153051.0,0.0,153051.0,0.0,0.0,0.0
49,Utah,1994,3819.0,3833.0,19512.0,19512.0,0.0,19512.0,0.0,0.0,0.0
49,Utah,1995,3844.0,3858.0,19521.0,19521.0,0.0,19521.0,0.0,0.0,0.0
49,Utah,1996,4102.0,4134.0,20870.0,20870.0,0.0,20870.0,0.0,0.0,0.0
