fips,region,type,category,time,rne,ose
15,Hawaii,Total,Total,2000,0.0024326867978618407,0.8474024708368738
23,Maine,Total,Total,2001,0.0029449017131834383,0.8915772834286106
33,New Hampshire,Total,Total,2001,0.0023607085952622197,0.8802769872106868
50,Vermont,Total,Total,2001,0.0030089287946098095,0.6831633289411372
25,Massachusetts,Total,Total,2001,0.0016094310049014425,0.8935111091045185
44,Rhode Island,Total,Total,2001,0.001457108122548257,0.7573200743965409
09,Connecticut,Total,Total,2001,0.003279833970799556,0.8224938570954962
36,New York,Total,Total,2001,0.00238235481723686,0.8273538073447156
34,New Jersey,Total,Total,2001,0.002322647539089127,0.7510111317572462
42,Pennsylvania,Total,Total,2001,0.0018290476823503228,0.7563352566049435
39,Ohio,Total,Total,2001,0.0021019657730778846,0.6537581038270022
18,Indiana,Total,Total,2001,0.002574306887052544,1.0
17,Illinois,Total,Total,2001,0.002821501046689681,0.9552832008536704
26,Michigan,Total,Total,2001,0.002149130763172605,0.7512025307725524
55,Wisconsin,Total,Total,2001,0.002689333630035597,0.7358192819116006
27,Minnesota,Total,Total,2001,0.0019732888199666533,0.9118885999421533
19,Iowa,Total,Total,2001,0.0033409319400360955,0.884437471945231
29,Missouri,Total,Total,2001,0.0026262129263458093,0.9062041929936208
38,North Dakota,Total,Total,2001,0.001764869715413352,0.8591233430219272
46,South Dakota,Total,Total,2001,0.0035186301502482184,0.8790549466657746
31,Nebraska,Total,Total,2001,0.002982300987240121,0.9212945889508701
20,Kansas,Total,Total,2001,0.0033321205399538937,0.7757775110466701
10,Delaware,Total,Total,2001,0.0017100057533556447,0.8851474637867036
24,Maryland,Total,Total,2001,0.002311814354884088,0.6815353859183422
11,District of Columbia,Total,Total,2001,0.0025118291589859626,0.7548221585032951
51,Virginia,Total,Total,2001,0.002320610498151063,0.9470998231264771
54,West Virginia,Total,Total,2001,0.0009989187419058763,0.7042977844003097
37,North Carolina,Total,Total,2001,0.002670345805477479,0.8383037274999003
45,South Carolina,Total,Total,2001,0.0014267949301494066,1.0
13,Georgia,Total,Total,2001,0.0025758830378624187,0.6272639361986873
12,Florida,Total,Total,2001,0.0028983224987427754,0.8753158785202458
21,Kentucky,Total,Total,2001,0.003254320154603477,0.7184373562043945
47,Tennessee,Total,Total,2001,0.0014350550534628639,1.0
01,Alabama,Total,Total,2001,0.002265302978817746,0.8422718952262092
28,Mississippi,Total,Total,2001,0.00323570941724195,0.6849093539547093
05,Arkansas,Total,Total,2001,0.003855512848812571,0.9066802975027674
22,Louisiana,Total,Total,2001,0.0021188011579269263,0.8005982308673453
40,Oklahoma,Total,Total,2001,0.0031132293208470476,0.9595989442742225
48,Texas,Total,Total,2001,0.0036763933960457912,0.8590673281909903
30,Montana,Total,Total,2001,0.003511300546511739,0.84111885438912
16,Idaho,Total,Total,2001,0.003970440486105426,0.7902151268427665
56,Wyoming,Total,Total,2001,0.003123183231844066,0.9352213847405821
08,Colorado,Total,Total,2001,0.004289417809375436,0.9420647463424092
35,New Mexico,Total,Total,2001,0.0029322863619089838,0.9535337291119614
04,Arizona,Total,Total,2001,0.004517787897495861,0.7035380656372793
49,Utah,Total,Total,2001,0.002627589628521583,0.8632772927869368
32,Nevada,Total,Total,2001,0.0024701384495204805,0.869882231847661
53,Washington,Total,Total,2001,0.0035675145188186676,0.8169260849387893
41,Oregon,Total,Total,2001,0.0036512481902596272,0.8693596574774386
06,California,Total,Total,2001,0.0027270132100546854,0.815300683222765
02,Alaska,Total,Total,2001,0.005030879166065346,0.8211947343177185
15,Hawaii,Total,Total,2001,0.002357353735838197,0.7850722449718767
23,Maine,Total,Total,2002,0.0025008984633451328,0.800259204064067
33,New Hampshire,Total,Total,2002,0.00270270874802289,0.7256511068633579
50,Vermont,Total,Total,2002,0.002914247127477638,0.8539615044356829
25,Massachusetts,Total,Total,2002,0.0017410615016034184,0.6015359324967244
44,Rhode Island,Total,Total,2002,0.001281856201580343,0.6950123609150698
09,Connecticut,Total,Total,2002,0.001938375086528213,0.648710029562825
36,New York,Total,Total,2002,0.0031418192006002236,0.7904245982453981
34,New Jersey,Total,Total,2002,0.0022851412502192655,0.7297019000777433
42,Pennsylvania,Total,Total,2002,0.0013426622734818358,0.8469751393856183
39,Ohio,Total,Total,2002,0.001920646435851532,0.7742588564650948
18,Indiana,Total,Total,2002,0.002296437658382233,0.8234772728439443
17,Illinois,Total,Total,2002,0.002449868475102142,0.6351615577743082
26,Michigan,Total,Total,2002,0.002553182783406243,0.7865676007915929
55,Wisconsin,Total,Total,2002,0.00288662279033794,0.8229543081246857
27,Minnesota,Total,Total,2002,0.003273365516495257,0.8120912056724633
19,Iowa,Total,Total,2002,0.0018601028517117883,0.683401730836858
29,Missouri,Total,Total,2002,0.002735109168835237,0.8220713528600352
38,North Dakota,Total,Total,2002,0.0026173295751147387,0.802201699931533
46,South Dakota,Total,Total,2002,0.003693847376917116,0.9412430966355985
31,Nebraska,Total,Total,2002,0.0033553090119345006,0.9456481093287877
20,Kansas,Total,Total,2002,0.003377167013428837,0.8105813272325489
10,Delaware,Total,Total,2002,0.001093291920003978,1.0
24,Maryland,Total,Total,2002,0.003275203712187404,0.7617569794870476
11,District of Columbia,Total,Total,2002,0.00351539341965119,0.7860071169187806
51,Virginia,Total,Total,2002,0.002336514091244271,0.6676787955825232
54,West Virginia,Total,Total,2002,0.0014368084830573497,0.8031585624117222
37,North Carolina,Total,Total,2002,0.003713199370437262,0.6677380349449362
45,South Carolina,Total,Total,2002,0.0025358717665596724,0.5499370814848533
13,Georgia,Total,Total,2002,0.0017213098136548018,0.8691647041952214
12,Florida,Total,Total,2002,0.0027010985434662038,0.7731984849053676
21,Kentucky,Total,Total,2002,0.0026890602150672505,0.75001148480349
47,Tennessee,Total,Total,2002,0.0027045372235425854,0.8803548835823336
01,Alabama,Total,Total,2002,0.001991834750112299,0.8997912018967883
28,Mississippi,Total,Total,2002,0.0019413734008950911,0.5930750370349653
05,Arkansas,Total,Total,2002,0.0016347893985226949,0.741294355037419
22,Louisiana,Total,Total,2002,0.0026233788213966104,0.7716100783693287
40,Oklahoma,Total,Total,2002,0.0030290642074293057,0.7293261772236274
48,Texas,Total,Total,2002,0.003576722701912408,0.727156976560737
30,Montana,Total,Total,2002,0.004344803395458785,0.9213368351072836
16,Idaho,Total,Total,2002,0.003103067213997847,0.7691770010989211
56,Wyoming,Total,Total,2002,0.003065797921365603,0.9192239059944287
08,Colorado,Total,Total,2002,0.004081207169828081,0.825359194706014
35,New Mexico,Total,Total,2002,0.0034561365299569415,0.7674288942089147
04,Arizona,Total,Total,2002,0.002936978761006902,0.7701612424148067
49,Utah,Total,Total,2002,0.002980356738486215,0.685822025154207
32,Nevada,Total,Total,2002,0.002758570783430597,0.8154724287496724
53,Washington,Total,Total,2002,0.0019769226808946665,0.6977914214701113
41,Oregon,Total,Total,2002,0.00253106833443798,0.784742541750356
06,California,Total,Total,2002,0.0038740157666224038,0.8037349961985791
02,Alaska,Total,Total,2002,0.004602315892564951,0.872412493429632
15,Hawaii,Total,Total,2002,0.003362109035313073,0.8987949572117132
23,Maine,Total,Total,2003,0.0025718499552535184,0.735896141047771
33,New Hampshire,Total,Total,2003,0.0026167352612821372,0.9390847901323849
50,Vermont,Total,Total,2003,0.003124788819534374,0.8886409249638232
25,Massachusetts,Total,Total,2003,0.0020570903990008195,0.6149314635520543
44,Rhode Island,Total,Total,2003,0.0020714131913268626,0.5677640214669049
09,Connecticut,Total,Total,2003,0.0016560457329915282,0.823223991887493
36,New York,Total,Total,2003,0.0024901926681775983,0.7464287886540238
34,New Jersey,Total,Total,2003,0.0029107420339106755,0.849612245744799
42,Pennsylvania,Total,Total,2003,0.002214273574635223,0.8320448496306143
39,Ohio,Total,Total,2003,0.0022310522109710946,0.7093701433686308
18,Indiana,Total,Total,2003,0.0021574663785169784,0.71034469366188
17,Illinois,Total,Total,2003,0.0022910064131515585,0.7045223632818194
26,Michigan,Total,Total,2003,0.002880696545958591,0.7464897604251268
55,Wisconsin,Total,Total,2003,0.0025821519884977467,0.612611644294155
27,Minnesota,Total,Total,2003,0.0025630989283007,0.8174891202629563
19,Iowa,Total,Total,2003,0.0034051913089432648,0.7283853616415099
29,Missouri,Total,Total,2003,0.002098878619310683,0.7066365807296637
38,North Dakota,Total,Total,2003,0.004146491914146856,0.684325139020499
46,South Dakota,Total,Total,2003,0.002922273771361207,0.9685576953200982
31,Nebraska,Total,Total,2003,0.003364138213758765,0.9476848726040815
