fips,name,type,category,year,rne,ose,sjc,ssr,zindex
47,Tennessee,Total,Total,2001,0.0020444257950299246,0.9305410424983034,6.138983711626353,0.7671429855306912,-0.7841419059140031
47,Tennessee,Total,Total,2002,0.002157943906758821,0.9248044749941998,5.5156059833834785,0.7485778233703255,-1.5854664503461222
47,Tennessee,Total,Total,2003,0.0022497835320745554,0.9024170007989918,5.846460180320435,0.7886987283679128,-0.06353530289879886
47,Tennessee,Total,Total,2004,0.0027026965004418625,0.8581824797307952,5.968726108388886,0.793464409248134,0.5235262923767262
47,Tennessee,Total,Total,2005,0.0025527627898378484,0.7394658323859634,6.220271314394105,0.7892165898617511,-1.6299012298963347
47,Tennessee,Total,Total,2006,0.0025619219111275393,0.7548923581495893,6.238209844162184,0.7961139206813947,-1.1129822960755604
47,Tennessee,Total,Total,2007,0.003058937136824735,0.7336802870865563,5.870563902840913,0.7864649012189996,-0.8398438262383578
47,Tennessee,Total,Total,2008,0.003445625709349793,0.8281730929059569,5.377107412974751,0.7782462057335582,0.9088250795434917
47,Tennessee,Total,Total,2009,0.003774959590954399,0.6629940042537077,4.191709539727045,0.7568834212067955,-2.136866844534657
47,Tennessee,Total,Total,2010,0.0037185683082764133,0.616181190754917,3.9367074247035276,0.7688386967819308,-2.624201544556259
47,Tennessee,Total,Total,2011,0.0035559223402824593,0.5569328553657602,4.103892134300503,0.770194384449244,-3.7468522251648553
47,Tennessee,Total,Total,2012,0.0031522113343066447,0.6641702204150822,4.244411671829955,0.7874470940435635,-2.3438593169810535
47,Tennessee,Total,Total,2013,0.0027806952791018594,0.617328880555498,4.305749314018053,0.7739392759828727,-4.3530717944907735
47,Tennessee,Total,Total,2014,0.0023637051581523044,0.6997273587087239,4.043433468022723,0.7817996667283836,-3.8790140727989253
47,Tennessee,Total,Total,2015,0.0024532016725940958,0.78203917602979,4.211847062054233,0.7928347429440273,-1.9644023700108502
47,Tennessee,Total,Total,2016,0.0022939081570683873,0.8865760900950356,4.10336427420362,0.7910033983187266,-0.8796043874978746
47,Tennessee,Total,Total,2017,0.0025816447474115017,0.8939376924925065,4.588600731665981,0.805700590601729,0.6383675547716244
47,Tennessee,Total,Total,2018,0.0025167829197225793,0.8873029077836551,4.793232236074292,0.7951986754966888,0.09029182810235592
47,Tennessee,Total,Total,2019,0.0027242533398833227,0.9209886374211463,4.7926733159822845,0.788712951684937,0.8131297398655521
47,Tennessee,Total,Total,2020,0.0032937194055887562,0.8864384110222346,4.490887975519666,0.7952245759627284,1.6846966352006012
48,Texas,Total,Total,1996,,,6.794037044432823,0.8099523434969694,
48,Texas,Total,Total,1997,,,9.886872637354305,0.821826660600546,
48,Texas,Total,Total,1998,0.0030495961120723196,0.7510424354820614,7.384783384433342,0.7934163529298195,0.3234148999969802
48,Texas,Total,Total,1999,0.0027778598392897203,0.7761600287089202,6.6888086614502615,0.795153480723552,-0.150944636025322
48,Texas,Total,Total,2000,0.0028994967571507363,0.7758761570810214,7.145599424459855,0.7894430711065872,0.10346009780622262
48,Texas,Total,Total,2001,0.003273023706457738,0.8261705576753359,6.660765373795089,0.785349194343212,1.3225711701354363
48,Texas,Total,Total,2002,0.0035507179803005422,0.7975846236226211,6.674634889057678,0.7623557984213722,0.6619386719743604
48,Texas,Total,Total,2003,0.0039049404998798554,0.7852751749029893,6.311308405441422,0.7784219295642846,1.7144348128630043
48,Texas,Total,Total,2004,0.003925210509880532,0.7564995163028844,6.288419012519546,0.783461289427435,1.509981004563339
48,Texas,Total,Total,2005,0.0038170161097408825,0.8011127344693966,6.656299116481196,0.7947955912292608,2.519152905818845
48,Texas,Total,Total,2006,0.003461825942126653,0.7964934191355407,6.618312486782724,0.7986653911663828,1.783744297399712
48,Texas,Total,Total,2007,0.0031710445281029477,0.8027519596929314,6.510830424811901,0.7959762354847421,1.0780931242987783
48,Texas,Total,Total,2008,0.003257212791745964,0.7791449687040726,6.148535941712875,0.7814869712788125,0.21675166344258434
48,Texas,Total,Total,2009,0.0036371844724821596,0.7984954417175514,5.210517108039224,0.7727085367176484,0.6145646401416702
48,Texas,Total,Total,2010,0.004013269679900951,0.778579183264349,4.885236576810899,0.7842510806239429,1.4497001503644318
48,Texas,Total,Total,2011,0.00431014556283577,0.7622170981866324,5.2066572436183955,0.7898817115562558,2.2226824970014363
48,Texas,Total,Total,2012,0.003996040178383954,0.763694528961862,5.51810864091948,0.7991054702135632,2.0242819827733958
48,Texas,Total,Total,2013,0.00374485003146815,0.779389624411376,5.50519394329347,0.8047911874004601,1.9034678414555446
48,Texas,Total,Total,2014,0.003639901606882832,0.8063020876096636,5.516769133506845,0.805581680190722,2.1042969471878163
48,Texas,Total,Total,2015,0.0038519007298584876,0.809537364053087,5.530640345254484,0.8123098024088123,2.8854522468083186
48,Texas,Total,Total,2016,0.0040326558420454356,0.8458573062537905,5.317970180992541,0.7995605712573655,3.2597175011133896
48,Texas,Total,Total,2017,0.004235963104403733,0.8378904853291735,5.641719731772866,0.7940023630464544,3.5297499721453875
48,Texas,Total,Total,2018,0.0043209198333103325,0.8447884740563568,5.6865730313805045,0.7903414722047031,3.7050879005459065
48,Texas,Total,Total,2019,0.004120198890233952,0.8339319062553461,5.576205806610946,0.7957361898760764,3.2479102233835007
48,Texas,Total,Total,2020,0.003881144111745269,0.7946731939570162,5.601694424861429,0.7963428726803072,2.161790998587524
49,Utah,Total,Total,1996,,,10.091993330676951,0.7952517258797778,
49,Utah,Total,Total,1997,,,10.524185483049216,0.7661713942668468,
49,Utah,Total,Total,1998,0.0032328323103305405,0.8922856204611174,9.227778906350995,0.7746478873239436,2.9433536852199627
49,Utah,Total,Total,1999,0.003029879550993777,0.882837012744885,9.557146371061801,0.769901547116737,2.314874369921515
49,Utah,Total,Total,2000,0.0032388421881316127,0.8714763606144968,9.68900896501763,0.7820765890248716,3.127826792319236
49,Utah,Total,Total,2001,0.0029496177431952847,0.8619101711523323,8.9455120275516,0.7504687918564158,0.826078434410719
49,Utah,Total,Total,2002,0.0030727421427398528,0.8120175254835088,9.11857502639995,0.7459840668669192,0.26602403921943996
49,Utah,Total,Total,2003,0.0028350362807419926,0.7945766607608883,8.956683446766013,0.7558698727015559,-0.22623304704715008
49,Utah,Total,Total,2004,0.002990003425083245,0.74367190206214,8.586846992396673,0.7808616404308202,0.1370613714063914
49,Utah,Total,Total,2005,0.0032921877895912724,0.7930665907159221,9.113328252741669,0.7762716413904174,1.6084452405859007
49,Utah,Total,Total,2006,0.0033119346992238076,0.8179200979320504,9.32050475409492,0.8041560952035762,3.159712132780715
49,Utah,Total,Total,2007,0.0035140515851369604,0.8762785676584169,9.314613514947188,0.7863740084754971,3.812202886997118
49,Utah,Total,Total,2008,0.0032515018843219125,0.9060158808581039,7.115206030426255,0.7511292751129275,1.380250592980763
49,Utah,Total,Total,2009,0.0034733274549576983,0.858246533662562,5.518427007796444,0.7108695652173913,-1.0459233565899195
49,Utah,Total,Total,2010,0.003459357305702959,0.82172824758807,5.13560179466817,0.7401551312649165,-0.6910679253885357
49,Utah,Total,Total,2011,0.0033760029998211594,0.7578878857003155,4.9342946804700425,0.7673685955894545,-0.8966566231508297
49,Utah,Total,Total,2012,0.003253452216970387,0.8086864614111277,5.159153633854646,0.7660090556274256,-0.3663132755763011
49,Utah,Total,Total,2013,0.003106369477399038,0.8026933909828461,5.034786930053423,0.7783273381294964,-0.37744496434322483
49,Utah,Total,Total,2014,0.0030104428598603686,0.8575040575454622,4.9038452043819305,0.8182487122884474,1.6642825068066713
49,Utah,Total,Total,2015,0.0027513778298666283,0.8362242314242777,5.580791693705386,0.774336938805749,-0.582364625363192
49,Utah,Total,Total,2016,0.0028236395801866624,0.8806447073193863,5.148809876036698,0.7644547450597706,-0.3189951192394665
49,Utah,Total,Total,2017,0.002960767785183589,0.9003192398577249,5.124084098183772,0.7848639455782312,1.0356811653513514
49,Utah,Total,Total,2018,0.0028504027834596077,0.9060472762194226,5.6266746999413355,0.7918201915991157,1.3555270471197578
49,Utah,Total,Total,2019,0.002420938564097827,0.9261985456469398,5.836944838329136,0.7770210896309314,0.2317881801404183
49,Utah,Total,Total,2020,0.002335300783659553,0.8712201478195909,5.376815567594979,0.76755917733799,-1.3359681400356922
5,Arkansas,Total,Total,1996,,,6.5176087016530015,0.7801093281608182,
5,Arkansas,Total,Total,1997,,,6.070531969289798,0.7701170117011701,
5,Arkansas,Total,Total,1998,0.0032700142429293254,0.8099423135864717,5.238189704179547,0.7765779184509403,0.1205449466931593
5,Arkansas,Total,Total,1999,0.003253757130355669,0.7867251468195913,5.337762928661392,0.7908303817394726,0.3164475699525787
5,Arkansas,Total,Total,2000,0.0031338062687264767,0.8500491167191729,5.842630520259181,0.786055923473142,1.0340978198316653
5,Arkansas,Total,Total,2001,0.0034089771710413865,0.8987531987824232,5.827080169908206,0.7700795947901592,1.7697354133605314
5,Arkansas,Total,Total,2002,0.002995455281121643,0.8826582175133955,5.438062445882686,0.7668234442836469,0.31140886365189013
5,Arkansas,Total,Total,2003,0.0028860822895892557,0.8025002140059573,5.573220356897494,0.7955646664181886,0.009447377085340491
5,Arkansas,Total,Total,2004,0.002958143458489172,0.7621756141344904,5.387524248223252,0.787085843373494,-0.8296276552285461
5,Arkansas,Total,Total,2005,0.0038366634911702405,0.8050320261821353,5.621882300401603,0.7793486041517538,1.5880872537044133
5,Arkansas,Total,Total,2006,0.004136654455278374,0.7516626538728084,6.6263585044941795,0.7931212381771281,2.4218382293533667
5,Arkansas,Total,Total,2007,0.0038189905750624503,0.7901537262225437,5.597388236533094,0.7886453063518831,1.6647464468214026
5,Arkansas,Total,Total,2008,0.003743753664741448,0.7856402092027183,5.350395226529055,0.781879710813721,1.0669171541347822
5,Arkansas,Total,Total,2009,0.0036025165764570015,0.7725175389083389,5.107629236379052,0.7503766194636939,-0.7328278153347818
5,Arkansas,Total,Total,2010,0.0038104390083022687,0.7328851770632484,4.2409831195729994,0.7278163892031679,-2.0845381615201983
5,Arkansas,Total,Total,2011,0.0036054237410085483,0.7155881887573837,4.484016721376477,0.7459048361934477,-2.0160805201192833
5,Arkansas,Total,Total,2012,0.00331445231004855,0.8294541481875046,4.746010045512376,0.7798731356077491,0.4182637033408392
5,Arkansas,Total,Total,2013,0.0027506437325672092,0.8249734701020671,4.536730418328039,0.7695844686648501,-1.3882380706414126
5,Arkansas,Total,Total,2014,0.002532690655684531,0.8248777473829754,3.795588853781368,0.7721386069303465,-2.1070924012646106
5,Arkansas,Total,Total,2015,0.002726592227770091,0.8137137044581274,4.134923278603972,0.7868696479543292,-1.1379799122952863
5,Arkansas,Total,Total,2016,0.002880283956482986,0.8195777380685443,4.092754383230576,0.778340263966733,-1.0449885501851035
5,Arkansas,Total,Total,2017,0.002861674696045121,0.8416411854360172,3.9482298769385062,0.7835933568193256,-0.6243189888975246
5,Arkansas,Total,Total,2018,0.002911415025688579,0.8412667912522055,4.359855176522302,0.7840729696544466,-0.31986816526732836
5,Arkansas,Total,Total,2019,0.0031876741045404073,0.8633056375589861,4.232216538913726,0.7769586833533345,0.3040343182499486
5,Arkansas,Total,Total,2020,0.003308538489221261,0.9065272211761775,4.1540698269143075,0.7744792520911924,1.0912993726459064
50,Vermont,Total,Total,1996,,,6.061973956587575,0.797366495976591,
50,Vermont,Total,Total,1997,,,5.215667429621977,0.8188105117565698,
50,Vermont,Total,Total,1998,0.003910039525238975,0.7226267667247401,4.953232425518307,0.8075689544579859,1.2892823330240506
50,Vermont,Total,Total,1999,0.004091725222946202,0.7769652294671917,4.838899059507213,0.8073333333333333,2.4465997956074275
50,Vermont,Total,Total,2000,0.003747833226915954,0.7897739114985249,4.878464874724827,0.8004172461752433,1.6256974196876341
50,Vermont,Total,Total,2001,0.003554901098007556,0.7724656225038755,4.475493406814184,0.7769279796048438,-0.1219059528043458
50,Vermont,Total,Total,2002,0.0032588196875435738,0.8107658791036787,4.10761696471804,0.7867263236390754,-0.007962344325239123
50,Vermont,Total,Total,2003,0.0030159882472072744,0.8085885861135478,5.065888925934439,0.7915087187263078,0.01610389312024396
50,Vermont,Total,Total,2004,0.003427266196621805,0.8318917443185434,4.866757000903343,0.7903448275862069,1.1528417853969715
50,Vermont,Total,Total,2005,0.004181945053294964,0.8134743996200334,4.441296491552844,0.8001378359751895,2.74813774641086
50,Vermont,Total,Total,2006,0.0045409805696147885,0.7740740583583241,4.11788881539657,0.8126410835214447,3.2916391708720782
50,Vermont,Total,Total,2007,0.004463646955209938,0.8051784449509398,3.911907499987971,0.7791279485346676,2.2347032971148244
50,Vermont,Total,Total,2008,0.0037184508574618,0.8114041322134348,4.779292190511591,0.7569944044764189,0.21015656411273853
50,Vermont,Total,Total,2009,0.003559508387232906,0.8233492877347857,3.514629083395618,0.7495120364346128,-0.803436831256116
50,Vermont,Total,Total,2010,0.0037179725851927818,0.7711409856137946,3.340901356332454,0.7768456375838926,-0.2778167140082738
50,Vermont,Total,Total,2011,0.004026392693340256,0.7316723070386497,3.628105618540178,0.766859344894027,-0.4240168001138196
50,Vermont,Total,Total,2012,0.004530664543175406,0.7382069588767542,3.8205369835007743,0.8082077051926299,2.4372988583522024
50,Vermont,Total,Total,2013,0.003898881299736924,0.7437999987592593,3.2513054726050363,0.7818181818181819,-0.13311993809428202
50,Vermont,Total,Total,2014,0.0039612700872434965,0.7943082742150004,4.296129005428541,0.782392026578073,1.2393351305891929
50,Vermont,Total,Total,2015,0.0035860369971029795,0.7570604550890193,4.283319684716962,0.7853982300884956,-0.04845470311475185
50,Vermont,Total,Total,2016,0.003955286562136004,0.7827154406793005,4.233096076849935,0.7836504580690627,1.0727268316613567
50,Vermont,Total,Total,2017,0.0038386735113039804,0.7654583676082513,3.776764091590533,0.7860627177700349,0.4447043308050851
50,Vermont,Total,Total,2018,0.0035793005785819524,0.7839452128238902,4.334051938150869,0.8018995929443691,0.9782067228302717
50,Vermont,Total,Total,2019,0.003460725752433938,0.8197669363191985,4.245267144132348,0.7819650067294751,0.459952474173824
50,Vermont,Total,Total,2020,0.004078118662287261,0.7884167019143237,3.0576869704995775,0.7847478474784748,0.9577624332638258
51,Virginia,Total,Total,1996,,,6.005287603816034,0.7924333264420095,
51,Virginia,Total,Total,1997,,,6.520985013873548,0.8486357891606572,
51,Virginia,Total,Total,1998,0.002649352699071994,0.8320607057815836,6.675198864846677,0.7535211267605634,-1.1729977693062719
51,Virginia,Total,Total,1999,0.002357728293719352,0.8222211860913711,5.91471012006273,0.8060132606840412,-0.3375513951015634
51,Virginia,Total,Total,2000,0.0018311091154878938,0.8625730443912726,6.16466762372293,0.797668663714509,-1.1182618529550958
51,Virginia,Total,Total,2001,0.0018554615422965903,0.9112130970988325,5.6979629532385285,0.7951238192494255,-0.639317841306589
51,Virginia,Total,Total,2002,0.0020473758946509906,0.8413221011915558,5.555743869832781,0.764323762504872,-2.468729654903747
51,Virginia,Total,Total,2003,0.0024489684293879928,0.7775543503369656,5.730301587747594,0.7845360168142157,-1.6853290241946852
51,Virginia,Total,Total,2004,0.002541892813553282,0.72408624418174,5.728522555121178,0.799525347748698,-1.712655978814946
51,Virginia,Total,Total,2005,0.0025176145438462827,0.7705003649732838,6.061285939682769,0.8011320274739252,-0.8690599650538278
51,Virginia,Total,Total,2006,0.0026256392086910305,0.8063763108031302,6.1861742504455135,0.7899511915015791,-0.45719390599451926
51,Virginia,Total,Total,2007,0.0024826732364060266,0.7634533968031345,6.007482905431557,0.784137504914902,-1.7132597085544943
51,Virginia,Total,Total,2008,0.002407746188877571,0.76805335005037,5.639372254737859,0.7670738183749336,-2.6139925697539974
51,Virginia,Total,Total,2009,0.0023030498415961987,0.7491504838061586,5.267011332540241,0.754018589393111,-3.7830963006981326
51,Virginia,Total,Total,2010,0.0023747890064962297,0.7991153036871536,4.437105629211664,0.7708145306859205,-2.6124324711528875
51,Virginia,Total,Total,2011,0.0023713239425880296,0.7509020737130229,5.227032441670355,0.779531080304095,-2.66490210645774
51,Virginia,Total,Total,2012,0.002146172562944856,0.7586130647874594,5.01925454607652,0.780476807755171,-3.109716039268453
51,Virginia,Total,Total,2013,0.0021407060081975494,0.7976924735579383,4.898922462446502,0.7817990356370892,-2.542884559202066
51,Virginia,Total,Total,2014,0.0022444840862956817,0.8144561417118319,3.7879950085386906,0.7707916388703581,-2.961334432787729
51,Virginia,Total,Total,2015,0.002389117302010798,0.8249010066764368,4.9112584264073025,0.7761456711568402,-1.7880430995582115
51,Virginia,Total,Total,2016,0.002116725945482197,0.7763660611116218,7.168756255866454,0.7801138159974708,-1.9810654511944212
51,Virginia,Total,Total,2017,0.0021413509785007012,0.799460354848924,4.989137584336287,0.7867631678032047,-2.2893177068827186
51,Virginia,Total,Total,2018,0.0018083744024166026,0.7546897735750205,4.638474696651777,0.7831936479929422,-3.9895537320967356
51,Virginia,Total,Total,2019,0.0020185200850402624,0.8282049029347575,5.150711983653249,0.907182056788356,2.4511990776769874
51,Virginia,Total,Total,2020,0.0023405131151712382,0.7942100941626316,5.2407508099294535,0.7618610493767514,-2.745230999237771
53,Washington,Total,Total,1996,,,6.680906675753844,0.7057489511282459,
53,Washington,Total,Total,1997,,,6.665319176343896,0.7308974358974359,
53,Washington,Total,Total,1998,0.0028149299720791453,0.8841557552324156,6.885098036904708,0.7342481097731728,-0.6568060911479323
53,Washington,Total,Total,1999,0.002947448198765181,0.9127335880872164,6.369121502135021,0.7069526237145117,-1.1845719942557356
53,Washington,Total,Total,2000,0.0025977972249586916,0.9367572003648171,6.939669524399917,0.6932914723671453,-1.8711193985962753
53,Washington,Total,Total,2001,0.0030261887898858086,0.8757325620110802,6.0746222427302845,0.6937537071679518,-2.1839616942897924
53,Washington,Total,Total,2002,0.0026675463077002006,0.8188390245275636,4.929986687813277,0.6849902886309228,-4.665637939414701
53,Washington,Total,Total,2003,0.002962232810022551,0.7376180762613743,5.380141101535604,0.7245321286991795,-3.53566236434449
53,Washington,Total,Total,2004,0.0032469294700697457,0.7511790322952373,5.22120950467295,0.6890350288551872,-4.09741100034385
53,Washington,Total,Total,2005,0.003355521454433677,0.730562759700761,5.1819433446188095,0.703672372611465,-3.6298160020094135
53,Washington,Total,Total,2006,0.003118922506327032,0.7733641454833121,5.486478599939442,0.7264063940977559,-2.5353258342909077
53,Washington,Total,Total,2007,0.002397604397953259,0.695753715628161,5.386911914983115,0.7423744019138756,-4.7511614733973015
53,Washington,Total,Total,2008,0.0025386474864519133,0.7665758463853872,5.152211191590177,0.7258191478894027,-4.104096584310669
53,Washington,Total,Total,2009,0.0024621935556887547,0.7158385808028253,3.828613920874412,0.7075575027382256,-6.297196331626349
53,Washington,Total,Total,2010,0.0024983976701473706,0.7426792043879042,3.495713224269335,0.8077327722251446,-2.2053734029510763
53,Washington,Total,Total,2011,0.0023706147431994964,0.7253448126619199,3.7325900477644374,0.7451036630336803,-4.9945496617486445
53,Washington,Total,Total,2012,0.0025766516908694716,0.7295890332004596,3.978072969663297,0.7193954898616638,-5.326523399476895
53,Washington,Total,Total,2013,0.0023401565063608603,0.7482046469302701,3.8845574767895106,0.7278972207656004,-5.300699924470408
53,Washington,Total,Total,2014,0.002400261936242173,0.7624319725052913,4.5181514900445165,0.8670458774121524,0.5426398555993734
53,Washington,Total,Total,2015,0.0023759494131773834,0.8131884993185777,4.850455570388141,0.7862595419847328,-1.6394206290722517
53,Washington,Total,Total,2016,0.002685409534351143,0.8739010976981154,5.204961197548217,0.7684709066305818,-0.5536105124569193
